estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,project_type,codebase_age_years,existing_test_coverage_pct,dependency_count,last_refactor_years,incident_rate_monthly,code_duplication_pct,technical_debt_score,documentation_quality,language_modernity,team_familiarity,target_team_label,profit_margin_pct
1072,Low,7,1,Web,Medium,2,Mid,0,63.8,Minimal,High,High,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,51.37
10627,Medium,69,3,Mobile,High,7,Junior,0,69.1,Minimal,Standard,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,53.11
22834,Medium,83,5,Data,Low,3,Mid,1,65.9,Comprehensive,Standard,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,43.98
1963,Low,9,2,Mobile,Medium,2,Junior,0,76.0,Standard,Standard,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,57.46
230711,High,136,7,Security,Medium,6,Mid,1,44.7,Standard,Standard,High,Tight,Low,1,10,52.1,70,5,13.64,36.3,High,Minimal,Current,Low,Human,22.98
9874,Medium,91,5,Web,High,3,Junior,0,60.6,Minimal,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,53.74
166941,High,161,7,Security,Low,1,Senior,0,77.0,Comprehensive,Standard,Critical,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,32.81
42092,Medium,90,7,Web,High,6,Mid,1,33.9,Comprehensive,Standard,Medium,Moderate,Low,1,8,52.1,12,4,0.67,6.3,Low,Minimal,Modern,Medium,Human,35.2
66797,High,193,8,Data,High,5,Senior,0,74.4,Comprehensive,Real-time,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,22.25
39288,Medium,92,5,Web,Medium,13,Mid,0,38.1,Comprehensive,Real-time,High,Tight,High,1,11,25.6,210,9,0.46,41.4,Critical,Poor,Current,Medium,Human,29.09
5180,Low,38,1,Infrastructure,Medium,3,Junior,0,59.1,Standard,Standard,High,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,60.28
15812,Medium,98,4,Data,Medium,6,Mid,1,67.3,Standard,High,High,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,41.53
76644,Medium,115,3,Web,Medium,2,Senior,0,50.2,Standard,High,High,Tight,High,1,9,35.6,95,8,16.86,58.0,High,Minimal,Modern,Low,Human,23.54
80509,High,167,8,Web,Medium,8,Senior,0,75.8,Minimal,Real-time,Critical,Flexible,Low,1,6,85.0,123,5,0.18,17.4,Low,Poor,Dated,High,Human,20.38
1342,Low,38,2,Mobile,Critical,7,Senior,0,63.4,Minimal,High,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,47.77
11952,Medium,95,4,Mobile,Critical,5,Mid,1,64.4,Standard,Standard,Medium,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,39.16
55843,Medium,88,5,Data,Medium,10,Senior,0,22.3,Comprehensive,Standard,Critical,Tight,High,1,2,61.1,85,0,0.2,12.8,Low,Standard,Current,Medium,Human,34.91
26329,High,164,8,Web,Low,2,Junior,0,75.5,Standard,High,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,47.79
63540,High,146,7,Infrastructure,High,7,Mid,1,92.4,Minimal,High,Low,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,36.94
56659,Medium,50,5,Data,Medium,11,Senior,1,42.3,Comprehensive,Standard,Low,Tight,High,1,17,16.4,86,8,20.0,46.7,Critical,Good,Modern,Medium,Human,20.65
136506,High,179,9,Web,Medium,1,Mid,0,63.7,Minimal,Standard,Low,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,44.01
19558,Medium,88,3,Web,Medium,6,Mid,0,45.1,Standard,Real-time,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,43.48
8053,Medium,133,4,Data,Medium,2,Mid,0,48.7,Standard,Real-time,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.87
3174,Low,10,1,Mobile,High,5,Architect,0,71.7,Comprehensive,High,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,29.72
57428,High,219,10,Data,High,12,Senior,1,78.5,Standard,High,Medium,Moderate,Low,1,16,64.3,177,6,9.33,30.7,High,Poor,Dated,Low,Human,12.76
137837,High,149,9,Web,Critical,11,Mid,0,45.4,Minimal,High,Critical,Tight,High,1,15,26.4,101,6,14.28,55.4,Critical,Minimal,Modern,High,Human,17.35
32638,High,167,9,Web,Medium,5,Senior,0,88.2,Comprehensive,High,High,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,31.24
39419,Medium,119,4,Security,High,6,Architect,1,60.8,Standard,Standard,Low,Moderate,High,1,16,25.6,135,4,2.9,57.8,Critical,Good,Dated,Unfamiliar,Human,12.03
39043,Low,57,5,Mobile,High,5,Senior,0,47.6,Comprehensive,Standard,Critical,Moderate,High,1,23,26.3,122,2,0.42,35.3,High,Standard,Dated,Low,Human,25.55
52320,High,185,8,Security,Medium,7,Senior,0,53.6,Comprehensive,High,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,29.87
1833,Low,15,2,Web,Medium,6,Mid,0,74.0,Minimal,High,High,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.63
70972,High,168,9,Infrastructure,Medium,6,Senior,0,89.3,Standard,Standard,Critical,Tight,High,1,20,22.7,64,8,11.67,56.0,Critical,Standard,Legacy,Unfamiliar,Human,5.37
1859,Low,22,2,Data,Low,2,Mid,0,45.5,Standard,Standard,Critical,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,49.45
70806,High,177,7,Web,High,4,Mid,1,83.9,Minimal,High,Low,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,37.31
101537,Medium,88,6,Infrastructure,Medium,3,Mid,1,52.7,Comprehensive,Standard,High,Flexible,Medium,1,6,64.9,116,0,2.4,4.2,Low,Standard,Modern,Medium,Hybrid,34.61
1649,Low,53,1,Security,Critical,9,Senior,1,64.3,Standard,High,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,43.16
194073,High,134,10,Data,Low,3,Senior,1,66.4,Comprehensive,High,High,Tight,Medium,1,7,45.4,71,0,2.4,7.4,Low,Standard,Modern,Low,Hybrid,21.27
167533,High,219,8,Web,High,13,Architect,1,32.8,Standard,High,Low,Moderate,High,1,15,24.5,105,9,10.68,48.8,Critical,Standard,Current,Low,Human,4.47
1380,Low,33,2,Web,Low,3,Junior,0,55.5,Comprehensive,Real-time,Critical,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,52.09
14616,High,170,8,Security,Low,3,Senior,1,71.2,Standard,High,High,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,29.97
172715,High,151,10,Web,Medium,12,Mid,0,72.3,Standard,Standard,Medium,Tight,High,1,3,58.9,23,2,0.45,4.1,Low,Minimal,Current,Low,Hybrid,33.78
54886,High,160,9,Infrastructure,Low,2,Senior,0,69.1,Standard,Real-time,High,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,30.77
60876,Medium,130,6,Data,High,11,Senior,1,40.4,Standard,Standard,Medium,Tight,High,1,16,68.1,99,10,9.35,29.1,Critical,Minimal,Current,Low,Human,20.04
182701,High,193,9,Data,High,4,Architect,1,90.0,Standard,Standard,Low,Moderate,Medium,1,8,84.4,73,6,6.76,13.6,Medium,Poor,Current,Medium,Human,13.77
385347,High,148,9,Data,High,9,Architect,1,52.1,Minimal,High,Critical,Tight,Low,1,8,70.3,37,4,0.35,28.5,Medium,Poor,Dated,High,Human,12.78
48829,Medium,102,7,Infrastructure,Medium,8,Junior,1,65.4,Standard,High,High,Tight,High,1,19,37.7,222,5,0.38,27.8,High,Standard,Dated,Medium,Human,36.26
15142,Low,67,3,Infrastructure,High,15,Senior,0,52.8,Standard,Standard,Critical,Tight,Low,1,10,43.0,143,6,4.02,32.5,High,Minimal,Legacy,Low,Human,26.72
23273,High,149,7,Security,High,3,Senior,1,75.5,Standard,Standard,Low,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,30.98
340686,High,166,7,Security,High,6,Mid,1,40.3,Standard,Standard,Critical,Moderate,High,1,6,85.0,30,0,1.17,0.0,Low,Standard,Current,High,Human,27.44
42300,Medium,75,7,Security,Low,5,Senior,1,46.3,Standard,High,High,Tight,Medium,1,14,33.9,111,4,6.63,18.3,High,Good,Modern,High,Hybrid,27.55
12203,Low,21,3,Data,Critical,11,Junior,1,72.9,Standard,High,High,Flexible,High,1,18,31.5,82,8,4.97,35.9,High,Minimal,Dated,Medium,Human,31.59
8018,Medium,62,5,Security,Medium,2,Mid,1,66.3,Standard,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,38.82
8581,Medium,82,2,Infrastructure,Critical,16,Mid,0,46.3,Standard,Standard,Low,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,49.45
5989,Low,30,4,Data,High,11,Senior,1,45.3,Comprehensive,High,Low,Moderate,Medium,1,18,85.0,44,2,0.12,6.2,Low,Good,Legacy,High,Human,35.96
9998,Medium,68,4,Data,Medium,3,Junior,0,81.4,Minimal,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,58.1
16989,Low,99,4,Data,Low,2,Mid,1,52.8,Minimal,High,High,Tight,Medium,1,11,43.3,108,1,1.16,16.1,Medium,Minimal,Current,High,Human,48.4
52063,Medium,134,4,Infrastructure,High,14,Mid,1,35.2,Standard,High,High,Moderate,Medium,1,20,39.7,117,7,8.51,47.0,Critical,Good,Dated,High,Human,24.38
55440,Medium,116,8,Web,Medium,7,Senior,0,22.4,Comprehensive,High,Medium,Tight,High,1,20,47.5,127,7,6.47,25.1,High,Minimal,Legacy,High,Human,26.36
78507,Medium,103,9,Security,High,14,Architect,1,55.3,Comprehensive,Standard,High,Tight,Medium,1,8,23.0,42,4,3.16,25.9,Medium,Standard,Current,Medium,Human,18.53
47161,High,130,7,Data,Medium,5,Senior,0,87.8,Minimal,Standard,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,36.64
23306,High,136,6,Data,Low,0,Senior,0,98.0,Standard,Real-time,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,28.74
322061,High,187,7,Web,Medium,15,Senior,0,19.1,Minimal,Standard,High,Tight,High,1,18,56.6,100,5,1.8,39.6,High,Poor,Legacy,Medium,Human,23.16
10923,Medium,87,5,Infrastructure,High,6,Mid,0,36.4,Standard,High,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,38.93
50743,Medium,111,6,Web,Low,6,Senior,0,16.4,Standard,High,Medium,Tight,High,1,4,58.5,21,1,0.52,0.0,Low,Standard,Current,Medium,Hybrid,39.12
3441,Low,7,3,Mobile,Medium,6,Senior,0,52.5,Comprehensive,High,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,44.17
61646,High,157,10,Data,High,5,Mid,1,93.4,Standard,High,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,26.71
1531,Low,47,1,Web,Medium,6,Architect,0,51.3,Standard,Standard,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,44.24
222265,High,163,8,Mobile,Medium,4,Junior,0,79.1,Standard,High,Low,Tight,Medium,1,17,18.2,80,5,1.72,45.1,Critical,Minimal,Dated,Low,Human,31.7
14942,Medium,108,1,Infrastructure,High,9,Senior,0,51.3,Comprehensive,High,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,30.73
57017,Medium,73,3,Infrastructure,High,9,Architect,1,5.0,Minimal,Standard,Medium,Tight,Medium,1,20,34.5,158,6,1.81,57.5,Critical,Minimal,Modern,High,Human,19.81
1378,Low,28,3,Security,Medium,6,Senior,0,58.7,Standard,Standard,Critical,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,40.06
137028,High,181,10,Web,High,16,Mid,1,46.0,Standard,Standard,Medium,Tight,Medium,1,9,49.7,98,3,1.34,23.8,Medium,Standard,Dated,High,Human,27.92
28661,Medium,99,5,Mobile,Medium,9,Senior,0,71.1,Minimal,High,High,Tight,High,1,13,50.9,73,7,3.83,36.7,High,Minimal,Modern,Unfamiliar,Human,26.62
1849,Low,24,5,Infrastructure,High,6,Mid,1,50.9,Standard,Standard,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,45.16
11171,Low,86,4,Mobile,Medium,4,Mid,0,16.5,Standard,High,Low,Tight,Medium,1,5,60.7,110,4,0.64,18.1,Low,Minimal,Current,Low,Hybrid,50.3
19176,Low,27,1,Data,Medium,9,Senior,0,12.0,Standard,Standard,High,Flexible,High,1,19,37.4,229,7,10.27,43.1,Critical,Good,Current,Medium,Human,30.9
62354,Medium,86,7,Infrastructure,Medium,7,Mid,0,64.8,Comprehensive,Standard,Critical,Flexible,Medium,1,16,50.8,99,5,10.04,36.1,High,Poor,Modern,Low,Human,23.79
1959,Low,16,2,Data,Medium,3,Senior,0,78.7,Standard,Real-time,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,37.76
36734,High,168,5,Web,Low,5,Senior,0,74.9,Minimal,Standard,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,31.51
91762,Medium,92,7,Infrastructure,Medium,11,Mid,0,27.5,Minimal,Real-time,High,Moderate,High,1,5,67.1,47,1,2.41,5.1,Low,Good,Dated,Medium,Hybrid,37.0
44030,Medium,87,5,Data,Low,5,Senior,1,45.7,Minimal,High,High,Moderate,Medium,1,12,35.6,39,7,3.59,19.1,Medium,Poor,Modern,High,Hybrid,28.91
1274,Low,54,2,Web,Medium,8,Junior,1,66.7,Standard,High,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,56.19
34637,High,109,6,Data,High,4,Mid,1,57.9,Minimal,Real-time,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.58
500000,High,166,10,Mobile,Low,3,Architect,0,40.9,Comprehensive,High,Medium,Moderate,Medium,1,9,54.9,224,0,3.49,28.8,Medium,Good,Modern,Medium,Human,11.62
9074,Medium,67,6,Data,High,10,Senior,1,46.3,Comprehensive,Standard,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,32.2
48987,High,151,7,Security,Medium,4,Architect,0,54.3,Standard,High,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,19.48
25202,Low,56,3,Infrastructure,Low,4,Mid,0,60.8,Comprehensive,High,Medium,Tight,Medium,1,3,38.2,112,8,1.55,20.5,Medium,Poor,Current,Medium,AI,43.59
50302,Medium,69,5,Infrastructure,Low,6,Junior,0,53.4,Minimal,Real-time,Critical,Moderate,Medium,1,21,49.1,82,6,20.0,41.7,High,Standard,Dated,High,Human,34.36
27168,Medium,109,4,Data,Critical,9,Junior,1,49.9,Standard,Real-time,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,43.45
29598,Medium,96,7,Data,Medium,6,Mid,0,33.7,Comprehensive,High,Low,Flexible,Medium,1,11,16.7,251,7,5.26,49.7,Critical,Minimal,Dated,Low,Human,24.34
96643,Medium,83,2,Web,High,15,Senior,0,51.9,Comprehensive,High,High,Tight,High,1,3,71.6,170,0,0.99,6.5,Low,Minimal,Current,Medium,Human,30.6
45571,Medium,143,9,Data,Medium,2,Architect,1,40.5,Standard,Real-time,Critical,Moderate,Medium,1,13,34.3,69,9,2.43,34.6,High,Standard,Modern,High,Human,12.41
165577,High,159,9,Infrastructure,Medium,4,Senior,0,46.8,Standard,High,Medium,Moderate,High,1,5,55.0,122,0,0.8,16.8,Medium,Minimal,Current,Low,Hybrid,20.96
23306,High,123,6,Data,High,3,Junior,1,42.1,Standard,Standard,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,38.18
15656,Medium,104,5,Security,Medium,8,Mid,0,75.6,Comprehensive,Standard,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,43.71
13315,Low,80,5,Infrastructure,Low,7,Mid,0,52.5,Comprehensive,Standard,High,Moderate,Medium,1,13,57.2,85,8,6.39,31.3,High,Poor,Dated,Unfamiliar,Human,30.96
437212,High,148,10,Web,Low,4,Senior,0,63.4,Minimal,Real-time,Medium,Flexible,Medium,1,15,21.3,164,5,3.01,27.2,High,Minimal,Dated,Medium,Human,17.9
21433,Medium,110,4,Web,High,3,Mid,0,59.1,Standard,Standard,Critical,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,38.94
13479,High,152,7,Data,Low,1,Senior,0,56.2,Comprehensive,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,36.5
16843,Low,27,1,Web,Critical,13,Junior,1,54.6,Standard,High,Medium,Tight,Low,1,11,75.9,214,4,8.5,22.1,Medium,Minimal,Dated,Low,Human,42.06
247378,High,191,9,Web,Medium,3,Junior,0,50.5,Minimal,High,High,Moderate,High,1,18,55.7,98,6,5.53,43.3,Critical,Standard,Modern,Medium,Human,27.67
2445,Low,18,1,Infrastructure,Medium,4,Senior,1,52.0,Standard,High,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,42.36
61088,Medium,78,3,Security,Critical,12,Mid,0,41.2,Standard,High,Critical,Flexible,Low,1,17,43.1,253,7,13.98,42.0,Critical,Good,Modern,Medium,Human,20.22
124579,High,132,8,Web,High,8,Senior,0,29.3,Standard,Standard,High,Moderate,Low,1,12,72.6,100,7,0.05,35.4,High,Minimal,Dated,High,Human,19.02
1894,Low,23,1,Web,High,5,Mid,0,61.8,Standard,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,50.93
38980,High,141,7,Web,High,6,Junior,0,90.7,Comprehensive,High,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.43
5759,Medium,85,5,Security,Low,1,Mid,0,51.2,Comprehensive,Standard,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.93
208112,High,183,8,Infrastructure,Critical,11,Senior,1,52.1,Comprehensive,High,High,Moderate,Medium,1,1,59.7,37,1,1.44,3.2,Low,Standard,Dated,Medium,Human,14.27
1078,Low,22,3,Infrastructure,High,4,Architect,0,46.7,Standard,Real-time,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,37.21
70429,Medium,73,9,Web,Critical,12,Mid,1,30.6,Comprehensive,High,Low,Tight,High,1,3,74.8,16,0,0.57,10.7,Low,Poor,Current,Medium,Human,35.31
130551,High,150,6,Data,Medium,9,Mid,1,60.4,Comprehensive,Standard,Medium,Tight,Medium,1,19,13.8,398,6,10.27,37.7,Critical,Poor,Current,Medium,Human,21.95
295393,High,160,10,Infrastructure,Critical,9,Architect,1,62.5,Minimal,Standard,Low,Tight,Medium,1,12,72.7,48,5,3.87,6.2,Medium,Good,Dated,Medium,Human,15.77
91343,Medium,54,6,Web,High,12,Mid,0,37.9,Standard,High,Medium,Tight,High,1,1,85.0,18,0,0.53,0.0,Low,Poor,Current,Low,Hybrid,40.27
157758,High,187,16,Data,High,13,Mid,0,58.5,Standard,Real-time,Medium,Flexible,Medium,1,11,13.8,209,8,5.85,41.9,Critical,Standard,Modern,Low,Human,12.58
16485,Medium,85,2,Security,Medium,3,Junior,0,98.0,Minimal,Real-time,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,52.88
24764,Low,61,1,Security,Medium,2,Mid,1,54.1,Minimal,Standard,Medium,Flexible,Low,1,17,61.0,173,3,3.65,33.8,High,Standard,Modern,High,Hybrid,41.27
41943,High,113,7,Web,High,8,Architect,0,78.7,Minimal,Real-time,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,19.76
17996,Low,111,3,Mobile,High,9,Senior,1,37.5,Standard,High,Medium,Moderate,Medium,1,23,5.0,77,9,5.04,48.2,Critical,Good,Legacy,High,Human,21.68
140997,Medium,85,6,Mobile,Critical,10,Mid,0,40.4,Standard,Real-time,High,Moderate,Medium,1,6,50.5,161,3,0.3,21.1,Medium,Minimal,Current,Low,Hybrid,30.14
3992,Low,22,1,Web,Critical,9,Architect,0,43.4,Standard,High,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,34.83
107134,High,166,7,Web,Medium,12,Senior,1,21.3,Standard,Standard,Critical,Moderate,Medium,1,20,37.6,125,6,14.56,35.0,Critical,Standard,Modern,Medium,Human,9.81
1672,Low,19,3,Security,Medium,3,Senior,1,46.4,Standard,Standard,Low,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,46.53
6909,Low,45,1,Mobile,High,7,Architect,0,63.1,Comprehensive,High,High,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.08
17557,Medium,84,4,Data,Low,1,Senior,0,54.6,Minimal,Real-time,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.39
169884,High,161,12,Infrastructure,Medium,8,Architect,0,41.3,Minimal,Real-time,High,Tight,High,1,4,74.0,96,3,7.46,30.1,Medium,Poor,Dated,Unfamiliar,Human,5.69
12456,Low,14,3,Infrastructure,High,9,Junior,0,34.6,Minimal,Standard,Medium,Tight,High,1,16,27.1,53,9,3.98,53.5,Critical,Minimal,Modern,Low,Human,47.52
59624,High,131,7,Data,Critical,15,Junior,0,64.6,Comprehensive,High,Medium,Tight,High,1,9,71.7,86,3,2.01,12.4,Low,Minimal,Dated,High,Human,34.4
91163,High,200,10,Infrastructure,High,9,Senior,0,78.7,Standard,Standard,High,Tight,Medium,1,11,85.0,22,5,5.43,2.6,Low,Standard,Legacy,Medium,Human,21.74
108501,Medium,119,6,Web,High,9,Senior,1,73.8,Minimal,Real-time,Critical,Tight,Medium,1,12,41.2,90,7,2.31,32.8,High,Good,Current,Medium,Human,24.76
960,Low,7,1,Data,Low,2,Senior,1,73.8,Standard,High,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,43.43
100209,High,171,6,Infrastructure,High,15,Senior,1,56.6,Standard,Standard,Medium,Flexible,Medium,1,13,47.8,108,4,8.36,33.6,High,Standard,Modern,Medium,Human,13.65
290393,High,192,10,Infrastructure,Medium,5,Mid,0,38.8,Minimal,Standard,Medium,Tight,Medium,1,3,51.2,89,2,1.13,2.4,Low,Poor,Current,Medium,Hybrid,39.38
3293,Low,40,4,Security,Low,1,Junior,1,68.5,Minimal,High,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,57.46
233968,High,152,7,Data,High,10,Senior,1,48.2,Standard,Standard,High,Tight,High,1,9,33.0,165,3,5.94,25.0,Medium,Minimal,Modern,Low,Human,17.21
3639,Medium,86,3,Security,High,5,Senior,1,74.4,Standard,High,Critical,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,32.0
60863,High,132,9,Data,High,7,Senior,0,73.3,Comprehensive,High,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,26.61
12400,Medium,119,2,Data,Medium,2,Mid,1,62.1,Minimal,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,46.57
77075,Medium,129,6,Infrastructure,Low,3,Senior,1,51.2,Standard,High,Medium,Moderate,Medium,1,9,53.6,424,7,1.82,28.1,High,Good,Current,Medium,Hybrid,26.4
9921,Medium,84,5,Data,High,5,Mid,0,47.6,Standard,High,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,41.68
5472,Low,102,1,Security,High,11,Senior,1,48.8,Standard,High,High,Flexible,Medium,1,12,69.2,94,3,1.19,14.1,Medium,Minimal,Modern,Medium,Human,30.16
146559,High,189,9,Data,High,13,Mid,0,76.0,Minimal,High,Critical,Flexible,High,1,9,67.3,119,5,4.57,14.5,Medium,Poor,Modern,Unfamiliar,Human,16.99
106019,High,172,7,Web,Low,4,Architect,0,79.3,Standard,Standard,Low,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,26.96
75494,High,140,11,Data,Medium,7,Mid,0,54.9,Standard,High,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,31.13
157428,Medium,100,8,Data,Critical,12,Mid,1,27.5,Minimal,High,Critical,Tight,High,1,19,34.1,127,10,4.58,37.6,Critical,Poor,Legacy,Low,Human,16.36
24267,Medium,39,6,Data,Low,1,Junior,0,90.4,Minimal,High,High,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,53.33
25828,Medium,122,4,Data,Low,3,Architect,1,38.3,Standard,High,Low,Moderate,High,1,17,56.0,153,5,6.12,36.5,High,Poor,Legacy,Medium,Hybrid,18.15
56542,High,149,7,Data,Low,1,Junior,1,60.8,Minimal,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.78
30811,Medium,118,5,Data,Critical,13,Senior,1,68.5,Minimal,Real-time,Critical,Tight,High,1,12,67.9,81,3,1.07,4.7,Low,Standard,Legacy,Medium,Human,25.76
156088,High,157,10,Infrastructure,High,11,Architect,0,37.5,Standard,High,High,Moderate,High,1,7,46.3,143,3,0.63,24.9,Medium,Good,Dated,Low,Human,8.22
23121,High,132,6,Data,Medium,7,Senior,0,64.1,Standard,High,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,25.18
79972,Medium,97,7,Mobile,High,9,Architect,1,27.3,Comprehensive,High,High,Tight,Medium,1,19,56.3,225,10,7.16,33.5,Critical,Minimal,Dated,Unfamiliar,Human,5.69
1125,Low,44,1,Security,Medium,3,Junior,1,51.8,Standard,Standard,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,57.28
2914,Low,46,1,Security,Low,0,Mid,1,65.1,Minimal,Standard,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,56.07
